trial_id,phase,region,mean_activity,max_activity,activity_variance,start_time,end_time,spike_counts
0,planning,PMd,3.676056338028169,20,19.247173179924616,0.0,1.413,"[0, 0, 0, 0, 3, 0, 3, 0, 0, 8, 16, 0, 3, 13, 11, 9, 1, 0, 0, 0, 0, 3, 1, 2, 0, 10, 9, 0, 3, 0, 0, 3, 1, 5, 2, 1, 2, 1, 0, 0, 5, 8, 1, 0, 0, 5, 1, 0, 0, 1, 9, 2, 1, 0, 1, 20, 3, 4, 1, 2, 9, 5, 2, 4, 7, 4, 1, 4, 2, 8, 0, 1, 12, 1, 3, 4, 1, 1, 9, 7, 10, 2, 6, 12, 1, 2, 4, 0, 0, 2, 0, 0, 2, 3, 18, 14, 0, 13, 5, 0, 4, 1, 5, 12, 0, 3, 0, 2, 0, 6, 8, 10, 1, 8, 1, 1, 13, 4, 2, 1, 10, 0, 6, 0, 0, 3, 6, 12, 0, 0, 0, 0, 1, 4, 3, 4, 0, 10, 10, 0, 4, 14]"
1,planning,PMd,2.26056338028169,15,9.1222475699266,3.5,4.324,"[0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 9, 0, 1, 15, 6, 4, 1, 0, 0, 0, 1, 2, 0, 0, 0, 8, 5, 0, 0, 0, 0, 3, 0, 2, 2, 2, 1, 3, 0, 0, 2, 1, 0, 0, 0, 2, 1, 1, 0, 0, 6, 3, 2, 0, 2, 8, 3, 6, 2, 2, 3, 0, 0, 1, 3, 0, 0, 7, 4, 8, 2, 0, 6, 0, 3, 2, 0, 3, 10, 0, 3, 4, 2, 3, 6, 4, 2, 0, 1, 0, 0, 3, 1, 0, 3, 9, 0, 0, 3, 1, 2, 0, 1, 4, 0, 2, 0, 0, 2, 14, 7, 7, 1, 1, 0, 0, 5, 0, 1, 7, 8, 0, 3, 4, 0, 1, 11, 8, 0, 0, 0, 0, 2, 1, 1, 8, 0, 5, 0, 0, 0, 8]"
2,planning,PMd,2.5985915492957745,16,8.578307875421542,5.7,6.54,"[0, 0, 3, 2, 0, 1, 0, 2, 2, 1, 7, 0, 2, 11, 13, 7, 1, 2, 1, 1, 0, 0, 1, 4, 1, 5, 4, 1, 2, 0, 2, 6, 0, 3, 0, 0, 1, 1, 0, 1, 4, 3, 0, 0, 0, 6, 0, 1, 0, 2, 5, 4, 2, 0, 0, 16, 1, 5, 1, 1, 5, 0, 2, 3, 4, 1, 3, 4, 3, 5, 1, 1, 6, 1, 2, 1, 1, 1, 7, 1, 2, 1, 0, 8, 3, 1, 2, 0, 4, 1, 0, 3, 1, 10, 7, 3, 2, 6, 0, 1, 3, 0, 3, 7, 0, 0, 1, 1, 1, 7, 3, 2, 2, 4, 0, 1, 6, 2, 1, 9, 7, 2, 3, 5, 0, 3, 12, 6, 0, 2, 0, 1, 1, 8, 1, 5, 0, 7, 2, 0, 0, 5]"
3,planning,PMd,4.97887323943662,27,30.62631422336838,8.6,10.259,"[14, 5, 11, 1, 1, 3, 2, 1, 5, 4, 22, 0, 7, 14, 11, 7, 0, 0, 1, 0, 0, 0, 1, 1, 3, 9, 3, 0, 1, 1, 0, 8, 2, 9, 0, 2, 0, 3, 0, 4, 11, 5, 3, 0, 0, 6, 3, 6, 0, 1, 12, 2, 3, 0, 1, 27, 14, 13, 4, 3, 16, 0, 3, 5, 9, 0, 4, 6, 4, 8, 0, 0, 9, 1, 12, 1, 3, 7, 20, 2, 9, 3, 1, 9, 12, 5, 5, 0, 3, 0, 2, 2, 4, 7, 3, 6, 0, 9, 4, 0, 2, 0, 7, 19, 0, 7, 0, 1, 1, 12, 9, 14, 4, 5, 0, 1, 5, 0, 1, 5, 17, 9, 6, 14, 0, 9, 18, 16, 0, 0, 0, 1, 0, 6, 6, 9, 1, 16, 4, 0, 0, 18]"
4,planning,PMd,4.838028169014085,28,34.10756794286848,11.8,13.225,"[1, 2, 0, 0, 1, 0, 1, 0, 1, 2, 21, 0, 6, 19, 19, 5, 3, 0, 0, 1, 0, 3, 0, 0, 2, 5, 2, 0, 1, 1, 8, 9, 1, 7, 0, 2, 0, 0, 2, 0, 7, 0, 0, 0, 0, 3, 1, 1, 0, 3, 4, 3, 0, 0, 0, 17, 1, 9, 3, 4, 11, 1, 1, 6, 6, 4, 1, 4, 1, 8, 3, 0, 22, 1, 8, 4, 1, 11, 14, 1, 7, 5, 0, 6, 11, 1, 7, 0, 6, 0, 1, 7, 1, 7, 5, 11, 0, 5, 6, 1, 8, 0, 3, 13, 0, 5, 1, 0, 15, 13, 11, 13, 5, 4, 0, 1, 15, 0, 3, 4, 10, 8, 12, 8, 0, 9, 20, 12, 0, 0, 0, 28, 11, 17, 7, 8, 2, 16, 6, 0, 0, 23]"
5,planning,PMd,3.471830985915493,23,18.75624876016663,14.8,16.011,"[3, 5, 0, 0, 0, 2, 0, 0, 0, 5, 12, 0, 3, 11, 14, 5, 0, 0, 1, 0, 0, 2, 0, 2, 1, 6, 15, 0, 3, 0, 2, 7, 0, 5, 2, 0, 1, 2, 2, 0, 2, 2, 1, 0, 2, 1, 1, 2, 0, 1, 4, 2, 1, 0, 2, 23, 2, 6, 2, 4, 9, 1, 2, 3, 6, 4, 1, 4, 0, 8, 0, 1, 4, 3, 1, 0, 7, 0, 14, 0, 9, 1, 1, 7, 9, 1, 2, 1, 3, 1, 1, 3, 5, 0, 14, 2, 0, 6, 1, 1, 3, 2, 5, 13, 0, 1, 2, 2, 2, 8, 2, 13, 5, 7, 1, 0, 5, 2, 0, 2, 10, 2, 6, 3, 0, 17, 14, 19, 2, 0, 1, 2, 3, 10, 1, 6, 1, 5, 2, 0, 1, 8]"
6,planning,PMd,4.732394366197183,20,26.40726046419361,17.6,19.085,"[11, 2, 6, 0, 3, 3, 1, 4, 4, 12, 19, 0, 6, 17, 17, 13, 2, 1, 0, 1, 0, 0, 0, 13, 0, 6, 18, 1, 4, 0, 3, 2, 1, 11, 0, 3, 0, 1, 1, 1, 12, 6, 1, 0, 1, 4, 4, 3, 0, 1, 4, 5, 0, 0, 2, 19, 4, 3, 2, 4, 15, 0, 2, 4, 13, 3, 0, 3, 2, 5, 5, 1, 19, 2, 4, 1, 1, 2, 20, 0, 6, 3, 1, 8, 3, 2, 11, 0, 1, 0, 0, 0, 4, 7, 9, 9, 1, 3, 6, 0, 4, 2, 6, 12, 0, 1, 0, 3, 4, 12, 10, 17, 0, 7, 3, 5, 11, 10, 1, 8, 14, 8, 9, 3, 2, 3, 11, 8, 1, 1, 1, 1, 4, 14, 4, 5, 0, 15, 5, 0, 0, 9]"
7,planning,PMd,4.852112676056338,25,30.280946240825237,20.7,22.263,"[3, 3, 2, 0, 0, 0, 1, 0, 3, 5, 25, 0, 4, 15, 14, 6, 0, 0, 0, 0, 0, 3, 1, 1, 0, 5, 15, 4, 0, 0, 0, 12, 0, 11, 2, 2, 0, 4, 0, 0, 4, 7, 0, 0, 0, 2, 5, 9, 1, 9, 7, 5, 1, 0, 5, 21, 2, 5, 1, 4, 14, 0, 3, 5, 8, 2, 4, 9, 2, 8, 1, 0, 9, 1, 3, 3, 2, 2, 21, 0, 13, 3, 1, 4, 2, 5, 4, 1, 6, 3, 1, 3, 4, 0, 11, 9, 2, 4, 5, 3, 5, 0, 7, 7, 0, 6, 0, 2, 0, 7, 20, 11, 8, 9, 4, 3, 12, 13, 1, 5, 16, 6, 7, 11, 3, 5, 23, 20, 0, 0, 0, 0, 6, 15, 1, 15, 1, 15, 6, 0, 0, 9]"
8,planning,PMd,5.211267605633803,35,46.18071811148582,23.7,25.536,"[1, 0, 1, 2, 2, 2, 5, 0, 0, 1, 35, 0, 7, 15, 8, 12, 0, 0, 2, 4, 0, 4, 0, 1, 3, 13, 3, 0, 0, 0, 1, 4, 0, 7, 1, 3, 1, 1, 0, 0, 3, 2, 0, 0, 1, 10, 9, 6, 0, 4, 9, 7, 0, 2, 3, 21, 7, 2, 6, 7, 13, 0, 3, 4, 6, 5, 2, 2, 2, 12, 1, 0, 11, 1, 11, 4, 5, 4, 20, 0, 20, 3, 0, 7, 9, 4, 5, 0, 1, 0, 0, 1, 4, 4, 13, 7, 0, 10, 4, 0, 18, 0, 2, 14, 0, 2, 0, 4, 2, 16, 26, 17, 6, 8, 2, 3, 25, 0, 1, 4, 17, 1, 6, 5, 0, 11, 18, 14, 0, 0, 0, 4, 4, 25, 2, 6, 0, 33, 5, 0, 0, 3]"
9,planning,PMd,3.112676056338028,17,14.705613965483044,27.0,28.195,"[1, 0, 0, 2, 2, 0, 0, 0, 0, 3, 10, 0, 7, 7, 5, 8, 1, 0, 1, 0, 0, 1, 0, 0, 0, 6, 9, 1, 0, 0, 0, 5, 0, 9, 6, 0, 1, 2, 0, 0, 2, 5, 0, 0, 1, 6, 6, 6, 0, 1, 4, 0, 1, 1, 0, 17, 4, 5, 5, 5, 8, 2, 1, 3, 10, 1, 0, 2, 3, 2, 1, 0, 4, 2, 2, 0, 0, 0, 12, 0, 7, 1, 1, 2, 1, 1, 3, 0, 2, 0, 0, 0, 3, 1, 15, 8, 0, 2, 7, 0, 8, 1, 6, 11, 0, 3, 0, 2, 3, 4, 5, 13, 4, 6, 0, 2, 17, 1, 0, 2, 7, 1, 5, 12, 2, 7, 14, 9, 0, 0, 0, 0, 3, 9, 2, 9, 0, 5, 2, 0, 1, 3]"
